Time [s],Channel 0,Channel 1,Channel 2,Channel 3
1.484374200,0,0,0,0
1.485705800,0,1,0,0
1.485898600,0,1,1,0
1.485984500,0,1,1,1
1.486072600,0,0,1,1
1.487146000,1,0,1,1
1.488092800,1,0,0,1
1.488216000,0,0,0,1
1.488983200,0,0,0,0
1.489118600,0,0,0,1
1.489236100,0,1,0,1
1.489860900,0,0,0,1
1.490024900,0,0,1,1
1.490227600,1,0,1,1
1.491764900,1,0,0,1
1.492176200,1,1,0,1
1.492184800,1,1,0,0
1.492843900,0,1,0,0
1.493887500,1,1,0,0
1.493940000,1,1,0,1
1.494068700,1,1,1,1
1.494079300,1,0,1,1
1.494287800,1,0,1,0
1.494846900,0,0,1,0
1.495521900,0,1,1,0
1.496579700,0,1,1,1
1.496832800,0,1,0,1
1.497618100,1,1,0,1
1.498141100,1,1,1,1
1.498537200,1,0,1,1
1.499210000,1,0,1,0
1.499883700,0,0,1,0
1.500197200,0,0,0,0
1.500275600,0,0,0,1
1.500468500,0,0,0,0
1.500855900,0,1,0,0
1.502305400,0,0,0,0
1.502601800,1,0,0,0
1.502678300,1,0,0,1
1.503316500,1,0,1,1
1.503489500,1,0,0,1
1.504025000,1,1,0,1
1.504189500,1,1,1,1
1.505415100,1,1,1,0
1.505643700,0,1,1,0
1.506990800,0,0,1,0
1.507350100,0,0,0,0
1.507504400,1,0,0,0
1.508158300,1,0,1,0
1.508420700,1,0,1,1
1.508730400,0,0,1,1
1.509465600,0,0,0,1
1.509888700,0,1,0,1
1.509900500,0,1,0,0
1.509926200,1,1,0,0
1.510640300,0,1,0,0
1.510795700,0,0,0,0
1.511278800,0,0,1,0
1.511525900,0,1,1,0
1.511601400,0,1,1,1
1.511798500,1,1,1,1
1.511905300,1,1,1,0
1.512492100,1,1,0,0
1.512871600,1,0,0,0
1.513051600,0,0,0,0
1.514303000,0,0,1,0
1.514425300,0,0,1,1
1.515250500,0,0,0,1
1.515297100,0,1,0,1
1.515686600,0,1,1,1
1.515866500,0,0,1,1
1.516185400,1,0,1,1
1.516469600,0,0,1,1
1.516942500,0,1,1,1
1.517353200,0,1,1,0
1.517394100,0,1,0,0
1.517964600,0,0,0,0
1.518345800,0,0,0,1
1.518393300,1,0,0,1
1.519506900,1,1,0,1
1.520026900,1,1,1,1
1.520525500,0,1,1,1
1.520621600,0,1,1,0
1.521101000,0,0,1,0
1.522006500,0,0,0,0
1.522696900,1,0,0,0
1.522732700,1,0,1,0
1.522837600,1,0,0,0
1.522952600,1,1,0,0
1.523547000,1,1,0,1
1.524164700,0,1,0,1
1.524270700,0,1,1,1
1.524290900,0,0,1,1
1.524719600,0,0,0,1
1.525038100,0,0,0,0
1.525385300,1,0,0,0
1.526334200,1,0,0,1
1.526395200,1,0,1,1
1.526670400,1,1,1,1
1.527403600,1,0,1,1
1.527473500,1,0,1,0
1.528104700,0,0,1,0
1.528319300,0,0,0,0
1.529055700,0,0,0,1
1.529196400,0,1,0,1
1.529254600,0,1,0,0
1.530212500,1,1,0,0
1.530431100,1,0,0,0
1.530626700,1,0,1,0
1.531439800,1,1,1,0
1.531748200,1,1,1,1
1.532136400,1,0,1,1
1.532315100,0,0,1,1
1.532450300,0,0,1,0
1.532794800,0,0,0,0
1.533023100,0,1,0,0
1.533126300,0,1,1,0
1.533438500,1,1,1,0
1.533787200,1,1,0,0
1.534503700,1,1,0,1
1.534949900,1,1,1,1
1.535371600,1,0,1,1
1.535543200,1,1,1,1
1.536406600,0,1,1,1
1.536823500,0,1,1,0
1.537332100,1,1,1,0
1.537341000,1,0,1,0
1.537883100,1,0,0,0
1.538098400,1,1,0,0
1.538166300,1,0,0,0
1.538573100,1,0,0,1
1.538594000,1,0,1,1
1.539163400,0,0,1,1
1.539287800,0,0,1,0
1.539496900,0,0,0,0
1.539662500,0,0,0,1
1.539866000,0,1,0,1
1.540535000,0,0,0,1
1.541967000,0,0,1,1
1.542205400,0,0,0,1
1.542207200,1,0,0,1
1.542450700,1,0,0,0
1.542626300,1,1,0,0
1.543531700,0,1,0,0
1.543742600,0,1,1,0
1.543913200,0,0,1,0
1.544440300,0,0,0,0
1.544755700,0,0,0,1
1.545532200,1,0,0,1
1.546534400,1,1,0,1
1.546770800,1,1,0,0
1.547295200,1,1,1,0
1.547652100,0,1,1,0
1.548301500,0,1,0,0
1.548591800,0,1,0,1
1.549315000,1,1,0,1
1.549329000,1,0,0,1
1.549375800,0,0,0,1
1.551253300,0,1,0,1
1.551377900,0,1,1,1
1.551407400,0,1,1,0
1.552053200,1,1,1,0
1.552313200,1,1,1,1
1.552594200,1,1,1,0
1.553183500,1,1,0,0
1.553195900,1,0,0,0
1.553311300,1,1,0,0
1.553464200,0,1,0,0
1.554703600,0,0,0,0
1.555020400,0,1,0,0
1.555383800,0,0,0,0
1.555676600,0,0,0,1
1.555996900,0,0,0,0
1.556116000,0,0,1,0
1.556298000,1,0,1,0
1.556415300,1,0,1,1
1.556512600,1,1,1,1
1.557228900,1,0,1,1
1.558452900,1,0,0,1
1.558605100,1,1,0,1
1.558911600,0,1,0,1
1.559434900,0,1,0,0
1.560878900,0,1,1,0
1.561173400,0,1,1,1
1.561404500,0,1,0,1
1.561547100,0,0,0,1
1.561839700,1,0,0,1
1.562964800,1,0,1,1
1.563750200,1,1,1,1
1.564148600,1,1,1,0
1.564725800,0,1,1,0
1.565284000,1,1,1,0
1.565326800,0,1,1,0
1.565630500,0,0,1,0
