name,type,start_time,duration
"Test Analyzer","disable",0.9088128,0.0000001
"Test Analyzer","enable",0.9088457,0.0000001
"Test Analyzer","disable",0.9089445,0.0000001
"Test Analyzer","enable",0.9090111,0.0000001
"Test Analyzer","disable",0.9091246,0.0000001
"Test Analyzer","enable",0.9095456,0.0000001
"Test Analyzer","disable",0.9109706,0.0000001
"Test Analyzer","error",0.9115486,0.0028858
"Test Analyzer","enable",0.9172101,0.0000001
"Test Analyzer","disable",0.9176732,0.0000001
"Test Analyzer","enable",0.9194907,0.0000001
"Test Analyzer","disable",0.9218672,0.0000001
"Test Analyzer","enable",0.9235986,0.0000001
"Test Analyzer","disable",0.9259177,0.0000001
"Test Analyzer","error",0.9286921,0.0024616
"Test Analyzer","error",0.931373,0.0015555
"Test Analyzer","error",0.9343406,0.0032251
"Test Analyzer","enable",0.9405656,0.0000001
"Test Analyzer","disable",0.9406765,0.0000001
"Test Analyzer","error",0.9426016,0.0008589
"Test Analyzer","error",0.9439709,0.0020939
"Test Analyzer","enable",0.9477757,0.0000001
"Test Analyzer","disable",0.9498556,0.0000001
"Test Analyzer","enable",0.9511852,0.0000001
"Test Analyzer","disable",0.9539205,0.0000001
"Test Analyzer","error",0.9565042,0.0007284
"Test Analyzer","enable",0.9575281,0.0000001
"Test Analyzer","disable",0.9588833,0.0000001
"Test Analyzer","enable",0.9608057,0.0000001
"Test Analyzer","disable",0.9620071,0.0000001
"Test Analyzer","error",0.9636579,0.0002226
"Test Analyzer","error",0.9655287,0.0020872
"Test Analyzer","enable",0.9705032,0.0000001
"Test Analyzer","disable",0.9724475,0.0000001
"Test Analyzer","enable",0.9751683,0.0000001
"Test Analyzer","disable",0.976779,0.0000001
"Test Analyzer","enable",0.9777578,0.0000001
"Test Analyzer","disable",0.9786804,0.0000001
"Test Analyzer","error",0.9801193,0.0007955
"Test Analyzer","error",0.9841843,0.0024682
"Test Analyzer","error",0.9882404,0.0015605
"Test Analyzer","enable",0.9920561,0.0000001
"Test Analyzer","disable",0.9932476,0.0000001
"Test Analyzer","enable",0.994632,0.0000001
"Test Analyzer","disable",0.9977963,0.0000001
"Test Analyzer","enable",0.9996577,0.0000001
"Test Analyzer","disable",1.0025069,0.0000001
"Test Analyzer","enable",1.0027325,0.0000001
"Test Analyzer","disable",1.0047715,0.0000001
"Test Analyzer","enable",1.0066552,0.0000001
"Test Analyzer","disable",1.00932,0.0000001
"Test Analyzer","error",1.0120939,0.0004804
"Test Analyzer","error",1.0145686,0.0031656
"Test Analyzer","enable",1.0197635,0.0000001
"Test Analyzer","disable",1.0228102,0.0000001
"Test Analyzer","enable",1.0241857,0.0000001
"Test Analyzer","disable",1.0270314,0.0000001
"Test Analyzer","enable",1.0291407,0.0000001
"Test Analyzer","disable",1.0304926,0.0000001
"Test Analyzer","error",1.0330899,0.0016068
"Test Analyzer","enable",1.0361828,0.0000001
